Category,BaseType,DropLevelStart,DropLevelEnd,AreaLevelStart,AreaLevelEnd,Rarity (1-6),Usefulness (1-6),Normal-Tier,Magic-Tier,Rare-Tier
Skill Gems,Melee Physical Damage Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Melee Splash Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Minefield Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Minion Damage Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Minion Life Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Minion Speed Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Mirage Archer Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Mirror Arrow,,,,,2.3636363636363633,4.0,,,
,Mirror Arrow of Bombarding Clones,,,,,6.0,,,,
,Mirror Arrow of Prismatic Clones,,,,,5.0,,,,
Skill Gems,Molten Shell,,,,,2.3636363636363633,3.0,,,
Skill Gems,Molten Strike,,,,,2.3636363636363633,5.0,,,
,Molten Strike of the Zenith,,,,,1.0,,,,
Skill Gems,Momentum Support,,,,,1.4545454545454546,4.0,,,
Skill Gems,More Duration Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Multiple Totems Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Multiple Traps Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Multistrike Support,,,,,2.8181818181818183,6.0,,,
Skill Gems,Nightblade Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Orb of Storms,,,,,2.3636363636363633,3.0,,,
Skill Gems,Overcharge Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Overexertion Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Penance Brand,,,,,2.3636363636363633,3.0,,,
,Penance Brand of Conduction,,,,,5.0,,,,
,Penance Brand of Dissipation,,,,,6.0,,,,
Skill Gems,Perforate,,,,,2.8181818181818183,5.0,,,
,Perforate of Bloodshed,,,,,4.0,,,,
,Perforate of Duality,,,,,4.0,,,,
Skill Gems,Pestilent Strike,,,,,2.8181818181818183,4.0,,,
Skill Gems,Petrified Blood,,,,,2.8181818181818183,3.0,,,
Skill Gems,Phase Run,,,,,2.8181818181818183,4.0,,,
Skill Gems,Physical to Lightning Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Pierce Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Pinpoint Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Plague Bearer,,,,,2.8181818181818183,3.0,,,
Skill Gems,Poacher's Mark,,,,,2.8181818181818183,4.0,,,
Skill Gems,Point Blank Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Poisonous Concoction,,,,,1.9090909090909092,3.0,,,
,Poisonous Concoction of Bouncing,,,,,5.0,,,,
Skill Gems,Portal,,,,,2.3636363636363633,4.0,,,
Skill Gems,Power Charge On Critical Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Power Siphon,,,,,2.8181818181818183,3.0,,,
,Power Siphon of the Archmage,,,,,5.0,,,,
Skill Gems,Precision,,,,,1.9090909090909092,4.0,,,
Skill Gems,Predator Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Pride,,,,,2.8181818181818183,3.0,,,
Skill Gems,Prismatic Burst Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Protective Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Pulverise Support,,,,,3.2727272727272725,6.0,,,
Skill Gems,Puncture,,,,,2.8181818181818183,5.0,,,
,Puncture of Shanking,,,,,6.0,,,,
Skill Gems,Punishment,,,,,2.8181818181818183,4.0,,,
Skill Gems,Purifying Flame,,,,,2.3636363636363633,4.0,,,
,Purifying Flame of Revelations,,,,,7.0,,,,
Skill Gems,Purity of Elements,,,,,2.3636363636363633,5.0,,,
Skill Gems,Purity of Fire,,,,,3.2727272727272725,5.0,,,
Skill Gems,Purity of Ice,,,,,3.2727272727272725,5.0,,,
Skill Gems,Purity of Lightning,,,,,3.2727272727272725,5.0,,,
Skill Gems,Pyroclast Mine,,,,,2.8181818181818183,3.0,,,
,Pyroclast Mine of Sabotage,,,,,6.0,,,,
Skill Gems,Rage Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Rage Vortex,,,,,2.3636363636363633,3.0,,,
,Rage Vortex of Berserking,,,,,3.0,,,,
Skill Gems,Rain of Arrows,,,,,2.8181818181818183,5.0,,,
,Rain of Arrows of Artillery,,,,,4.0,,,,
,Rain of Arrows of Saturation,,,,,5.0,,,,
Skill Gems,Raise Spectre,,,,,2.3636363636363633,3.0,,,
,Raise Spectre of Transience,,,,,6.0,,,,
Skill Gems,Raise Zombie,,,,,2.3636363636363633,3.0,,,
,Raise Zombie of Falling,,,,,6.0,,,,
,Raise Zombie of Slamming,,,,,6.0,,,,
Skill Gems,Rallying Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Reap,,,,,3.2727272727272725,3.0,,,
Skill Gems,Reave,,,,,2.8181818181818183,6.0,,,
,Reave of Refraction,,,,,5.0,,,,
Skill Gems,Rejuvenation Totem,,,,,2.8181818181818183,3.0,,,
Skill Gems,Returning Projectiles Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Righteous Fire,,,,,2.3636363636363633,5.0,,,
,Righteous Fire of Arcane Devotion,,,,,6.0,,,,
Skill Gems,Rolling Magma,,,,,1.9090909090909092,4.0,,,
Skill Gems,Rupture Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Ruthless Support,,,,,1.9090909090909092,6.0,,,
Skill Gems,Sacred Wisps Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Sacrifice Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Sadism Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Scorching Ray,,,,,2.8181818181818183,4.0,,,
,Scorching Ray of Immolation,,,,,7.0,,,,
Skill Gems,Scourge Arrow,,,,,2.8181818181818183,4.0,,,
,Scourge Arrow of Menace,,,,,5.0,,,,
Skill Gems,Searing Bond,,,,,2.8181818181818183,3.0,,,
Skill Gems,Second Wind Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Seismic Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Seismic Trap,,,,,2.8181818181818183,3.0,,,
,Seismic Trap of Swells,,,,,5.0,,,,
Skill Gems,Shattering Steel,,,,,2.8181818181818183,5.0,,,
,Shattering Steel of Ammunition,,,,,5.0,,,,
Skill Gems,Shield Charge,,,,,1.4545454545454546,4.0,,,
Skill Gems,Shield Crush,,,,,2.8181818181818183,5.0,,,
,Shield Crush of the Chieftain,,,,,3.0,,,,
Skill Gems,Shock Nova,,,,,2.8181818181818183,4.0,,,
Skill Gems,Shockwave Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Shockwave Totem,,,,,2.8181818181818183,3.0,,,
Skill Gems,Shrapnel Ballista,,,,,2.3636363636363633,3.0,,,
,Shrapnel Ballista of Steel,,,,,5.0,,,,
Skill Gems,Siege Ballista,,,,,2.8181818181818183,3.0,,,
,Siege Ballista of Splintering,,,,,5.0,,,,
,Siege Ballista of Trarthus,,,,,2.0,,,,
Skill Gems,Sigil of Power,,,,,2.8181818181818183,4.0,,,
Skill Gems,Siphoning Trap,,,,,2.8181818181818183,3.0,,,
Skill Gems,Slower Projectiles Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Smite,,,,,2.3636363636363633,6.0,,,
,Smite of Divine Judgement,,,,,3.0,,,,
Skill Gems,Smoke Mine,,,,,2.8181818181818183,4.0,,,
Skill Gems,Snipe,,,,,2.8181818181818183,4.0,,,
Skill Gems,Sniper's Mark,,,,,1.9090909090909092,4.0,,,
Skill Gems,Soul Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Soulrend,,,,,2.8181818181818183,4.0,,,
,Soulrend of Reaping,,,,,6.0,,,,
,Soulrend of the Spiral,,,,,6.0,,,,
Skill Gems,Spark,,,,,2.8181818181818183,4.0,,,
,Spark of Unpredictability,,,,,6.0,,,,
,Spark of the Nova,,,,,5.0,,,,
Skill Gems,Spectral Helix,,,,,2.8181818181818183,3.0,,,
,Spectral Helix of Trarthus,,,,,2.0,,,,
Skill Gems,Spectral Shield Throw,,,,,2.8181818181818183,4.0,,,
,Spectral Shield Throw of Shattering,,,,,4.0,,,,
,Spectral Shield Throw of Trarthus,,,,,3.0,,,,
Skill Gems,Spectral Throw,,,,,2.3636363636363633,5.0,,,
,Spectral Throw of Materialising,,,,,5.0,,,,
,Spectral Throw of Trarthus,,,,,2.0,,,,
Skill Gems,Spell Cascade Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Spell Echo Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Spell Totem Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Spellblade Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Spellslinger,,,,,2.8181818181818183,3.0,,,
Skill Gems,Spirit Offering,,,,,2.8181818181818183,3.0,,,
Skill Gems,Split Arrow,,,,,2.8181818181818183,5.0,,,
,Split Arrow of Splitting,,,,,5.0,,,,
Skill Gems,Splitting Steel,,,,,2.3636363636363633,5.0,,,
,Splitting Steel of Ammunition,,,,,5.0,,,,
Skill Gems,Static Strike,,,,,2.8181818181818183,5.0,,,
Skill Gems,Steelskin,,,,,2.3636363636363633,3.0,,,
Skill Gems,Storm Brand,,,,,2.3636363636363633,4.0,,,
,Storm Brand of Indecision,,,,,6.0,,,,
Skill Gems,Storm Burst,,,,,2.8181818181818183,3.0,,,
Skill Gems,Storm Call,,,,,2.8181818181818183,3.0,,,
,Storm Call of Trarthus,,,,,3.0,,,,
Skill Gems,Storm Rain,,,,,2.8181818181818183,3.0,,,
,Storm Rain of the Conduit,,,,,4.0,,,,
,Storm Rain of the Fence,,,,,5.0,,,,
Skill Gems,Stormbind,,,,,2.8181818181818183,3.0,,,
,Stormbind of Teleportation,,,,,7.0,,,,
Skill Gems,Stormblast Mine,,,,,2.3636363636363633,3.0,,,
Skill Gems,Stun Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Summon Carrion Golem,,,,,2.8181818181818183,3.0,,,
,Summon Carrion Golem of Hordes,,,,,6.0,,,,
,Summon Carrion Golem of Scavenging,,,,,6.0,,,,
Skill Gems,Summon Chaos Golem,,,,,2.3636363636363633,3.0,,,
,Summon Chaos Golem of Hordes,,,,,5.0,,,,
,Summon Chaos Golem of the Maelström,,,,,7.0,,,,
Skill Gems,Summon Flame Golem,,,,,2.3636363636363633,3.0,,,
,Summon Flame Golem of Hordes,,,,,3.0,,,,
,Summon Flame Golem of the Meteor,,,,,3.0,,,,
Skill Gems,Summon Holy Relic,,,,,2.3636363636363633,3.0,,,
,Summon Holy Relic of Conviction,,,,,6.0,,,,
Skill Gems,Summon Ice Golem,,,,,2.3636363636363633,3.0,,,
,Summon Ice Golem of Hordes,,,,,5.0,,,,
,Summon Ice Golem of Shattering,,,,,5.0,,,,
Skill Gems,Summon Lightning Golem,,,,,2.3636363636363633,3.0,,,
,Summon Lightning Golem of Hordes,,,,,6.0,,,,
Skill Gems,Summon Phantasm Support,,,,,1.9090909090909092,3.0,,,
Skill Gems,Summon Raging Spirit,,,,,2.3636363636363633,3.0,,,
,Summon Raging Spirit of Enormity,,,,,5.0,,,,
Skill Gems,Summon Reaper,,,,,2.8181818181818183,3.0,,,
,Summon Reaper of Eviscerating,,,,,6.0,,,,
,Summon Reaper of Revenants,,,,,6.0,,,,
Skill Gems,Summon Skeletons,,,,,2.3636363636363633,3.0,,,
,Summon Skeletons of Archers,,,,,6.0,,,,
,Summon Skeletons of Mages,,,,,6.0,,,,
Skill Gems,Summon Skitterbots,,,,,2.3636363636363633,3.0,,,
Skill Gems,Summon Stone Golem,,,,,1.9090909090909092,3.0,,,
,Summon Stone Golem of Hordes,,,,,3.0,,,,
,Summon Stone Golem of Safeguarding,,,,,5.0,,,,
Skill Gems,Sunder,,,,,1.9090909090909092,6.0,,,
,Sunder of Earthbreaking,,,,,2.0,,,,
,Sunder of Trarthus,,,,,3.0,,,,
Skill Gems,Sweep,,,,,2.8181818181818183,5.0,,,
Skill Gems,Swift Affliction Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Swift Assembly Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Swiftbrand Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Swordstorm,,,,,2.8181818181818183,5.0,,,
Skill Gems,Tectonic Slam,,,,,2.8181818181818183,5.0,,,
,Tectonic Slam of Cataclysm,,,,,2.0,,,,
Skill Gems,Tempest Shield,,,,,2.8181818181818183,4.0,,,
Skill Gems,Temporal Chains,,,,,2.8181818181818183,4.0,,,
Skill Gems,Temporal Rift,,,,,2.8181818181818183,3.0,,,
Skill Gems,Tornado,,,,,2.8181818181818183,4.0,,,
Skill Gems,Tornado Shot,,,,,2.8181818181818183,5.0,,,
,Tornado Shot of Cloudburst,,,,,4.0,,,,
,Tornado of Elemental Turbulence,,,,,5.0,,,,
Skill Gems,Toxic Rain,,,,,2.8181818181818183,4.0,,,
,Toxic Rain of Sporeburst,,,,,4.0,,,,
,Toxic Rain of Withering,,,,,4.0,,,,
Skill Gems,Trap Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Trap and Mine Damage Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Trauma Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Trinity Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Unbound Ailments Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Unearth,,,,,2.8181818181818183,3.0,,,
Skill Gems,Unleash Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Urgent Orders Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Vaal Absolution,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Animate Weapon,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Arc,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Arctic Armour,,,,,2.3636363636363633,3.0,,,
Skill Gems,Vaal Blade Flurry,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Blade Vortex,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Blight,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Breach,,,,,3.0,3.0,,,
Skill Gems,Vaal Burning Arrow,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Caustic Arrow,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Clarity,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Cleave,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Cold Snap,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Cyclone,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Detonate Dead,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Discipline,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Domination,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Double Strike,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Earthquake,,,,,2.3636363636363633,6.0,,,
Skill Gems,Vaal Fireball,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Firestorm,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Flameblast,,,,,2.8181818181818183,5.0,,,
Skill Gems,Vaal Flicker Strike,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Glacial Hammer,,,,,5.090909090909091,6.0,,,
Skill Gems,Vaal Grace,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Ground Slam,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Haste,,,,,2.8181818181818183,4.0,,,
Skill Gems,Vaal Ice Nova,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Ice Shot,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Immortal Call,,,,,3.0,3.0,,,
Skill Gems,Vaal Impurity of Fire,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Impurity of Ice,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Impurity of Lightning,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vaal Lightning Arrow,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Lightning Strike,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Lightning Trap,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Lightning Warp,,,,,3.0,4.0,,,
Skill Gems,Vaal Molten Shell,,,,,2.8181818181818183,3.0,,,
Skill Gems,Vaal Molten Strike,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Power Siphon,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Rain of Arrows,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Reap,,,,,2.8181818181818183,3.0,,,
Skill Gems,Vaal Reave,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Rejuvenation Totem,,,,,2.3636363636363633,3.0,,,
Skill Gems,Vaal Righteous Fire,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Smite,,,,,1.9090909090909092,6.0,,,
Skill Gems,Vaal Spark,,,,,1.9090909090909092,4.0,,,
Skill Gems,Vaal Spectral Throw,,,,,1.9090909090909092,5.0,,,
Skill Gems,Vaal Storm Call,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Summon Skeletons,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Venom Gyre,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vaal Volcanic Fissure,,,,,1.9090909090909092,3.0,,,
Skill Gems,Vampiric Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Vengeful Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Venom Gyre,,,,,2.8181818181818183,3.0,,,
Skill Gems,Vicious Projectiles Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Vigilant Strike,,,,,2.8181818181818183,4.0,,,
Skill Gems,Vile Toxins Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Viper Strike,,,,,2.3636363636363633,5.0,,,
,Viper Strike of the Mamba,,,,,4.0,,,,
Skill Gems,Vitality,,,,,2.3636363636363633,3.0,,,
Skill Gems,Void Manipulation Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Void Sphere,,,,,2.8181818181818183,4.0,,,
,Void Sphere of Rending,,,,,7.0,,,,
Skill Gems,Volatile Dead,,,,,2.8181818181818183,3.0,,,
,Volatile Dead of Confinement,,,,,5.0,,,,
,Volatile Dead of Seething,,,,,5.0,,,,
Skill Gems,Volatility Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Volcanic Fissure,,,,,1.9090909090909092,3.0,,,
,Volcanic Fissure of Snaking,,,,,4.0,,,,
Skill Gems,Volley Support,,,,,1.9090909090909092,5.0,,,
Skill Gems,Voltaxic Burst,,,,,2.8181818181818183,5.0,,,
Skill Gems,Vortex,,,,,2.8181818181818183,3.0,,,
,Vortex of Projection,,,,,6.0,,,,
Skill Gems,Vulnerability,,,,,2.3636363636363633,4.0,,,
Skill Gems,War Banner,,,,,2.3636363636363633,3.0,,,
Skill Gems,Warlord's Mark,,,,,2.8181818181818183,4.0,,,
Skill Gems,Wave of Conviction,,,,,2.3636363636363633,4.0,,,
,Wave of Conviction of Trarthus,,,,,3.0,,,,
Skill Gems,Whirling Blades,,,,,2.3636363636363633,5.0,,,
Skill Gems,Wild Strike,,,,,3.2727272727272725,6.0,,,
,Wild Strike of Extremes,,,,,5.0,,,,
Skill Gems,Winter Orb,,,,,2.8181818181818183,3.0,,,
Skill Gems,Wintertide Brand,,,,,2.3636363636363633,3.0,,,
Skill Gems,Wither,,,,,2.8181818181818183,3.0,,,
Skill Gems,Withering Step,,,,,2.3636363636363633,3.0,,,
Skill Gems,Withering Touch Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Wrath,,,,,2.8181818181818183,5.0,,,
Skill Gems,Zealotry,,,,,2.8181818181818183,5.0,,,
